id,started,ended,realTime,BoB (1),WF (6),CCM (8),DW (9),SSL (11),LLL (12),HMC (15),DDD (16),FS,BLJs,BITS
1,12/15/2024 08:04:14,12/15/2024 08:06:26,,,,,,,,,,,,
2,12/15/2024 08:06:26,12/15/2024 08:28:54,00:22:29.5439451,00:01:46.0304340,00:04:04.5343336,00:01:30.1673980,00:03:27.6678354,00:01:52.2181780,00:00:35.4661405,00:01:22.2342035,,,00:05:00.5517866,00:02:50.6736355
3,12/15/2024 08:31:45,12/15/2024 08:55:19,,00:02:06.4913319,00:04:20.7196163,00:01:35.2674345,00:02:13.2825879,00:01:37.1496900,00:00:34.0168520,00:01:21.1674881,,,,
4,12/15/2024 08:56:34,12/15/2024 08:56:40,,,,,,,,,,,,
5,12/15/2024 08:57:21,12/15/2024 08:58:42,,,,,,,,,,,,
6,12/15/2024 08:59:51,12/15/2024 09:13:03,,00:02:06.1547695,00:03:22.4855490,00:01:26.7499557,,,,,,,,
7,12/15/2024 09:14:15,12/15/2024 09:14:22,,,,,,,,,,,,
8,12/15/2024 09:14:54,12/15/2024 09:37:05,00:22:12.0236601,00:01:39.6574494,00:04:06.5732333,00:01:42.1953537,00:02:13.3334905,00:01:35.9349234,00:00:33.5835352,00:01:19.1509519,00:01:29.0331391,00:02:38.2178128,00:01:13.1342490,00:03:41.2095218
9,12/15/2024 09:40:29,12/15/2024 10:04:57,00:24:29.2226494,00:02:08.2413628,00:03:33.3676394,00:01:27.1171721,00:02:12.7231047,00:01:49.9951390,00:00:39.2509031,00:01:20.5331241,00:01:50.3862571,00:01:40.2639046,,00:07:47.3440425
10,12/15/2024 10:06:57,12/15/2024 10:27:09,00:20:13.3537134,00:01:39.5571744,00:03:50.8346560,00:01:24.8509196,00:03:06.2342698,00:01:25.7838964,00:00:38.6503807,00:01:18.5861813,00:01:47.9986620,00:01:39.0503698,00:01:04.4669447,00:02:17.3402587
11,12/15/2024 10:32:26,12/15/2024 10:32:51,,,,,,,,,,,,
12,12/15/2024 10:32:51,12/15/2024 10:51:59,00:19:09.8043418,00:01:50.7247783,00:03:33.1015718,00:01:25.2353728,00:02:01.7980794,00:01:30.8504496,00:00:33.5680929,00:01:18.0334964,00:01:49.3673039,00:01:40.1508256,00:01:25.2507222,00:02:01.7236489
13,12/16/2024 10:05:36,12/16/2024 10:25:09,00:19:33.5519947,00:01:39.7719189,00:04:06.8667036,00:01:23.2848191,00:02:08.6348366,00:01:27.2672419,00:00:33.8168864,00:01:25.8340418,00:01:44.3509215,00:01:53.0510667,00:01:08.2336060,00:02:02.4399522
14,12/16/2024 10:27:45,12/16/2024 10:27:59,,,,,,,,,,,,
15,12/16/2024 10:27:59,12/16/2024 10:28:27,,,,,,,,,,,,
16,12/16/2024 10:28:27,12/16/2024 10:49:51,00:21:25.2560364,00:01:59.9413066,00:03:29.4369510,00:01:24.7154078,00:02:55.1015830,00:01:41.1672690,00:00:38.0502453,00:01:22.3369455,00:01:37.1480101,00:01:39.0342844,00:00:58.1018559,00:03:40.2221778
17,12/16/2024 10:50:33,12/16/2024 11:10:05,00:19:33.7718097,00:02:00.7579765,00:03:25.2854666,00:01:28.8500581,00:02:11.1346847,00:01:25.8514045,00:00:33.2496078,00:01:18.6179433,00:01:31.9182966,00:01:40.8816815,00:01:01.5008107,00:02:55.7238794
18,12/16/2024 12:33:28,12/16/2024 12:46:15,,,,,,,,,,,,
19,12/16/2024 12:46:15,12/16/2024 13:07:18,00:21:04.1730866,00:01:39.0750983,00:03:32.1189929,00:01:54.1035860,00:02:05.9640575,00:01:30.8175521,00:00:33.3166555,00:01:25.2509453,00:02:25.6177925,00:01:46.6340866,00:01:03.7006061,00:03:07.5737138
20,12/16/2024 13:11:18,12/16/2024 13:18:01,,00:01:55.8752745,00:03:53.3523469,,,,,,,,,
21,12/16/2024 13:18:01,12/16/2024 13:19:53,,,,,,,,,,,,
22,12/16/2024 13:19:53,12/16/2024 13:25:34,,00:01:39,,,,,,,,,,
23,12/16/2024 13:25:44,12/16/2024 13:34:55,,00:01:59.6083342,00:03:14.7350391,00:01:26.2005999,,,,,,,,
24,12/16/2024 13:36:30,12/16/2024 13:57:00,00:20:31.5459785,00:01:39.4076468,00:03:19.4017109,00:01:45.0167058,00:02:09.3521356,00:01:26.3172291,00:00:33.7002165,00:01:25.0220198,00:01:37.8299677,,,00:06:35.4983463
25,12/16/2024 13:59:54,12/16/2024 14:00:09,,,,,,,,,,,,
26,12/16/2024 14:00:09,12/16/2024 14:19:22,00:19:14.3398519,00:01:39,00:03:15.0679398,00:01:24.3509867,00:02:06.1843090,00:01:28.9839314,00:00:37.8832220,00:01:20.4513572,00:01:56.3998278,,00:03:33.4193613,00:01:52.6737529
27,01/01/2025 07:34:17,01/01/2025 07:35:11,,,,,,,,,,,,
28,01/01/2025 07:35:11,01/01/2025 07:44:27,,00:02:01.5625818,00:04:09.0180790,00:01:28.2663551,,,,,,,,
29,01/01/2025 07:44:27,01/01/2025 08:05:13,00:20:46.9488055,00:01:39,00:03:50.6486140,00:01:22.2671746,00:02:12.0673747,00:01:27.5334743,00:00:34.4165510,00:01:17.4169947,,,00:05:19.6564661,00:03:03.9677515
30,01/01/2025 08:06:55,01/01/2025 08:15:26,,00:02:02.0745681,00:03:24.9174068,00:01:33.9669505,,,,,,,,
31,01/01/2025 08:16:40,01/01/2025 08:35:43,00:19:03.8663956,00:01:39,00:03:11.3340710,00:01:26.6003224,00:02:47.7173072,00:01:50.4668652,00:00:37.9506835,00:01:23.5696535,00:01:34.4309933,00:01:38.6682412,00:00:57.4820476,00:01:56.9561677
32,01/01/2025 08:37:52,01/01/2025 08:57:23,00:19:32.0203941,00:02:02.2444543,00:03:40.8508872,00:01:27.8964020,00:02:14.2336042,00:01:39.1670955,00:00:33.2167893,00:01:22.9169137,00:01:47.8028436,00:01:53.0147909,00:00:57.2503615,00:01:53.4262519
33,01/01/2025 08:58:31,01/01/2025 08:59:29,,,,,,,,,,,,
34,01/01/2025 09:00:25,01/01/2025 09:00:43,,,,,,,,,,,,
35,01/01/2025 09:00:43,01/01/2025 09:01:01,,,,,,,,,,,,
