id,started,ended,realTime,bob,wf,ccm,dw,ssl,lll,hmc,ddd,fs,bljs,bits
1,2018-07-17 21:17:14,2018-07-17 21:17:27,,,,,,,,,,,,
2,2018-07-17 21:17:28,2018-07-17 21:17:39,,,,,,,,,,,,
3,2018-07-17 21:18:57,2018-07-17 21:21:14,,,,,,,,,,,,
4,2018-07-17 21:35:05,2018-07-17 22:11:47,,,,,,,,00:04:44.8970000,00:04:59.8280000,00:03:05.7740000,,
5,2018-07-17 22:12:02,2018-07-17 22:14:26,,,,,,,,,,,,
6,2018-07-17 22:14:31,2018-07-17 22:15:40,,,,,,,,,,,,
7,2018-07-17 22:15:42,2018-07-17 22:59:22,00:43:39.7140000,,,,,,,,,00:20:13.6760000,,00:08:19.9710000
8,2018-07-17 22:59:51,2018-07-17 23:00:05,,,,,,,,,,,,
9,2018-07-17 23:00:39,2018-07-17 23:06:01,,,,,,,,,,,,
10,2018-07-17 23:06:05,2018-07-17 23:13:53,,,,,,,,,,,,
11,2018-07-18 00:16:52,2018-07-18 00:16:58,,,,,,,,,,,,
12,2018-07-18 00:17:00,2018-07-18 00:17:03,,,,,,,,,,,,
13,2018-07-18 00:17:05,2018-07-18 00:18:37,,,,,,,,,,,,
14,2018-07-18 00:42:44,2018-07-18 00:43:30,,,,,,,,,,,,
15,2018-07-18 00:43:31,2018-07-18 00:50:02,,,,,,,,,,,,
16,2018-07-18 00:50:02,2018-07-18 00:52:13,,,,,,,,,,,,
17,2018-07-18 00:52:16,2018-07-18 01:35:16,00:43:00.1410000,,,,,,,00:03:07.8430000,00:04:13.2390000,00:05:23.6960000,00:02:10.8050000,00:13:20.7150000
18,2018-07-18 01:35:34,2018-07-18 01:35:51,,,,,,,,,,,,
19,2018-07-18 01:35:52,2018-07-18 01:38:06,,,,,,,,,,,,
20,2018-07-18 01:38:08,2018-07-18 01:40:29,,,,,,,,,,,,
21,2018-07-18 01:40:30,2018-07-18 01:42:50,,,,,,,,,,,,
22,2018-07-18 01:42:52,2018-07-18 01:44:55,,,,,,,,,,,,
23,2018-07-18 01:44:56,2018-07-18 01:46:52,,,,,,,,,,,,
24,2018-07-18 01:46:53,2018-07-18 01:48:07,,,,,,,,,,,,
25,2018-07-18 01:48:10,2018-07-18 01:48:12,,,,,,,,,,,,
26,2018-07-18 01:48:16,2018-07-18 01:50:29,,,,,,,,,,,,
27,2018-07-18 01:50:31,2018-07-18 01:52:54,,,,,,,,,,,,
28,2018-07-18 01:52:56,2018-07-18 01:54:54,,,,,,,,,,,,
29,2018-07-18 01:54:56,2018-07-18 02:38:05,,,,,,,,00:03:44.1000000,00:03:58.6700000,00:03:19.2640000,00:11:07.5820000,
30,2018-07-18 04:09:38,2018-07-18 04:09:47,,,,,,,,,,,,
31,2018-07-18 04:09:48,2018-07-18 04:09:48,,,,,,,,,,,,
32,2018-07-18 04:09:49,2018-07-18 04:09:50,,,,,,,,,,,,
33,2018-07-18 04:09:50,2018-07-18 04:09:51,,,,,,,,,,,,
34,2018-07-18 04:15:45,2018-07-18 04:15:46,,,,,,,,,,,,
35,2018-07-18 18:01:33,2018-07-18 18:01:33,,,,,,,,,,,,
36,2018-07-18 18:01:34,2018-07-18 18:01:35,,,,,,,,,,,,
37,2018-07-18 18:01:37,2018-07-18 18:01:38,,,,,,,,,,,,
38,2018-07-18 18:01:46,2018-07-18 18:01:51,,,,,,,,,,,,
39,2018-07-18 18:02:04,2018-07-18 18:02:23,,,,,,,,,,,,
40,2018-07-19 02:20:36,2018-07-19 02:20:53,,,,,,,,,,,,
41,2018-07-19 02:21:11,2018-07-19 02:23:14,,,,,,,,,,,,
42,2018-07-19 02:23:16,2018-07-19 02:25:32,,,,,,,,,,,,
43,2018-07-19 02:25:33,2018-07-19 02:37:54,,,,,,,,,,,,
44,2018-07-19 02:37:59,2018-07-19 02:40:12,,,,,,,,,,,,
45,2018-07-19 02:40:14,2018-07-19 02:42:26,,,,,,,,,,,,
46,2018-07-19 02:42:28,2018-07-19 03:20:37,00:38:09.5600000,,,,,,,00:11:01.0190000,00:05:02.5180000,00:02:23.6580000,00:04:48.1530000,00:07:23.7970000
47,2018-07-19 21:45:19,2018-07-19 21:45:41,,,,,,,,,,,,
48,2018-07-20 00:46:07,2018-07-20 00:46:22,,,,,,,,,,,,
49,2018-07-20 00:46:24,2018-07-20 01:00:25,,,,,,,,,,,,
50,2018-07-20 01:00:27,2018-07-20 01:02:35,,,,,,,,,,,,
