id,started,ended,realTime,BOB (1),WF (6),CCM (8),BitDW (BOWSER),SSL (11),LLL (12),HMC (15),MIPS Clip,DDD (16),BitFS (BOWSER),BLJs,BitS
1,03/03/2025 06:06:38,03/03/2025 06:17:36,,,,,,,,,,,,,
2,03/03/2025 06:19:30,03/03/2025 06:34:22,,,,,,,,,,,,,
3,03/03/2025 06:34:22,03/03/2025 06:57:04,00:22:43.9899219,00:01:49.1434624,00:03:49.3979200,00:01:29.0249383,00:02:37.5921691,00:02:06.4877977,00:00:37.9978242,00:01:54.0025511,00:01:00.2493395,00:00:51.7911630,00:01:51.5530096,00:01:37.3426606,00:02:59.4070864
4,03/03/2025 07:09:55,03/03/2025 07:36:33,00:26:39.0603223,00:01:45.2958992,00:04:36.7729655,00:01:33.1743285,00:03:03.0573114,00:01:51.0635313,00:00:37.8030674,00:01:40.6887728,00:00:58.3088823,00:00:52.9867554,00:01:49.1087399,00:01:38.8430036,00:06:11.9570650
5,03/03/2025 07:42:19,03/03/2025 08:02:46,00:20:28.6400483,00:02:07.9587896,00:03:40.3821914,00:01:29.6663829,00:02:45.1324525,00:01:31.9162255,00:00:36.2082042,00:01:21.5571534,00:01:02.5865582,00:00:50.7360964,00:01:44.4985557,00:01:06.7743799,00:02:11.2230586
6,03/03/2025 08:09:04,03/03/2025 08:31:01,00:21:58.1790391,00:01:47.3601196,00:03:24.4211613,00:01:25.8473056,00:02:21.9260693,00:02:08.0163127,00:00:35.2361064,00:01:24.0606015,00:00:55.7911149,00:00:47.6380392,00:01:42.1749833,00:01:20.7376389,00:04:04.9695864
7,03/03/2025 08:32:46,03/03/2025 08:36:47,,,,,,,,,,,,,
8,03/04/2025 05:43:02,03/04/2025 05:43:37,,,,,,,,,,,,,
9,03/04/2025 05:43:37,03/04/2025 06:04:31,00:20:55.6237176,00:01:43.5245562,00:03:23.1233632,00:01:26.8453884,00:02:59.8761188,00:01:30.8226680,00:00:39.0768602,00:01:22.1230381,00:01:06.8545878,00:00:47.5334823,00:01:47.3562797,00:01:20.6722996,00:02:47.8150753
10,03/04/2025 06:06:27,03/04/2025 06:31:42,,00:01:39.0206000,00:03:29.5248837,00:01:43.1668105,00:02:11.4037694,00:01:31.8555164,00:00:34.3989722,00:01:28.7248813,00:00:59.4890124,00:00:47.3115051,00:03:35.8187816,00:01:30.9161319,
11,03/04/2025 06:31:42,03/04/2025 06:54:33,,00:01:55.3457220,00:03:28.0555519,00:01:32.5321194,00:02:37.4633919,00:01:29.2128251,00:00:36.9106609,00:01:25.9939393,00:00:48.1916294,00:00:46.3371017,00:01:42.8365839,,
12,03/04/2025 06:54:33,03/04/2025 07:02:37,,00:01:39.6964591,00:03:21.8935725,00:01:27.4960864,,,,,,,,,
13,03/04/2025 07:02:37,03/04/2025 07:22:41,00:20:05.9784246,00:01:54.9647468,00:03:28.3950819,00:01:26.7789607,00:02:09.3692728,00:01:35.7714244,00:00:35.4713855,00:01:20.9923422,00:00:45.7331692,00:00:55.7663862,00:02:09.3644672,00:01:16.1917311,00:02:27.1794566
14,03/04/2025 07:36:56,03/04/2025 07:55:31,00:18:36.4611816,00:01:41.8267544,00:03:27.3274786,00:01:28.5763100,00:02:21.0503983,00:01:29.5085675,00:00:34.1606838,00:01:20.7367218,00:00:50.0311287,00:00:48.5601792,00:01:37.5635951,00:01:07.1707883,00:01:49.9485759
15,03/06/2025 06:47:21,03/06/2025 06:57:16,,00:01:38.6170786,00:03:28.9795506,00:01:29.5048544,,,,,,,,,
16,03/06/2025 06:57:16,03/06/2025 07:06:24,,00:01:48.8062047,00:03:31.0128158,00:01:29.6622749,,,,,,,,,
17,03/06/2025 07:06:24,03/06/2025 07:14:39,,00:01:53.0529878,00:03:18.1950907,00:01:48.8717148,,,,,,,,,
