id,started,ended,realTime,Bomb Clip (1),Womps (6),CCM (8),DW (Bowser),SSL (11),LLL (12),HMC (15),MIPS,DDD (16),FS (Bowser),BLJS,BITS (Bowser)
1,2025-03-02 21:55:00,2025-03-02 22:19:46,00:24:46.0608711,00:01:55.2335190,00:04:03.3418872,00:01:50.1353754,00:02:34.2087586,00:02:08.6608849,00:00:36.5529522,00:01:34.0779530,00:01:27.5019962,00:01:24.6887580,00:02:04.1349426,00:01:20.3229203,00:03:47.2009237
2,2025-03-03 07:29:31,2025-03-03 07:53:57,,00:02:00.0623701,00:04:29.3126678,00:01:30.4082377,00:02:27.5514367,00:01:51.8547960,00:00:39.0742157,00:02:08.1686283,00:01:09.3608144,00:01:03.4094637,00:02:59.2142458,00:01:29.8319558,
3,2025-03-03 07:54:52,2025-03-03 07:57:09,,,,,,,,,,,,,
4,2025-03-03 07:57:11,2025-03-03 08:00:32,,00:02:25.5529882,,,,,,,,,,,
5,2025-03-03 08:00:35,2025-03-03 08:05:25,,00:02:24.5278264,,,,,,,,,,,
6,2025-03-03 08:05:28,2025-03-03 08:18:14,,00:02:14.5360053,00:04:04.4164207,00:01:34.3068956,00:03:11.5367110,,,,,,,,
7,2025-03-03 08:18:17,2025-03-03 08:20:13,,,,,,,,,,,,,
8,2025-03-03 08:20:16,2025-03-03 08:24:46,,00:02:18.5068521,,,,,,,,,,,
9,2025-03-03 08:24:51,2025-03-03 08:27:34,,,,,,,,,,,,,
10,2025-03-03 08:27:39,2025-03-03 08:52:52,00:25:12.6476841,00:01:50.6577356,00:03:40.0837238,00:01:34.0398416,00:02:36.8916810,00:01:44.4849225,00:00:45.5759548,00:01:35.9909418,00:01:39.0538967,00:00:58.0569676,00:02:05.2976930,00:01:31.9319752,00:05:10.5823505
11,2025-03-03 08:53:29,2025-03-03 09:18:36,00:25:06.7114009,00:01:49.1504981,00:03:32.5337023,00:01:31.1592133,00:02:26.0446176,00:02:44.2715614,00:00:43.5248427,00:01:32.2081191,00:01:37.6268980,00:00:59.4507994,00:02:31.9186333,00:01:38.4799557,00:04:00.3425600
12,2025-03-03 21:50:49,2025-03-03 21:53:08,,,,,,,,,,,,,
13,2025-03-03 21:53:16,2025-03-03 21:55:34,,,,,,,,,,,,,
14,2025-03-03 21:59:41,2025-03-03 22:23:37,00:23:55.8284877,00:02:06.0905307,00:03:49.0839293,00:01:34.4237729,00:02:20.1727563,00:01:36.3407963,00:00:38.4229354,00:01:36.0669144,00:01:33.2148003,00:01:09.4724526,00:02:01.9573089,00:01:23.0366691,00:04:07.5456215
15,2025-03-03 23:29:13,2025-03-03 23:47:05,,00:01:54.8051451,00:04:13.1215420,00:01:33.1976312,00:02:29.4087409,00:01:56.0648070,00:00:36.6648322,00:01:40.4398645,00:01:14.6903091,00:01:10.8973292,,,
16,2025-03-03 23:47:07,2025-03-03 23:52:14,,00:02:01.2919907,,,,,,,,,,,
17,2025-03-03 23:52:16,2025-03-03 23:55:59,,00:01:52.9549516,,,,,,,,,,,
18,2025-03-04 00:04:58,2025-03-04 00:07:47,,00:02:25.5567234,,,,,,,,,,,
19,2025-03-09 06:21:17,2025-03-09 06:46:57,00:25:39.2129560,00:02:04.8018344,00:03:36.5508317,00:01:42.2027926,00:02:33.8809502,00:02:43.7679709,00:00:33.7389427,00:01:44.5440448,00:01:05.3549639,00:01:05.0595957,00:02:02.6342662,00:01:17.9919182,00:05:08.6848447
20,2025-03-09 06:47:48,2025-03-09 06:49:43,,,,,,,,,,,,,
21,2025-03-09 06:50:17,2025-03-09 07:09:14,,00:01:49.1794707,00:04:03.8045533,00:01:30.7879534,00:03:07.0399469,00:01:50.0290271,00:00:35.8303894,00:01:43.6875941,00:01:22.8256491,00:01:01.1942674,,,
22,2025-03-09 07:09:35,2025-03-09 07:11:39,,,,,,,,,,,,,
23,2025-03-09 07:11:41,2025-03-09 07:21:03,,00:02:04.7610006,00:04:08.4950504,00:01:39.0549865,,,,,,,,,
24,2025-03-09 07:21:25,2025-03-09 07:26:39,,00:02:05.3228811,,,,,,,,,,,
25,2025-03-09 07:26:42,2025-03-09 07:28:29,,,,,,,,,,,,,
