id,started,ended,realTime,BOB (1),WF (6),CCM (8),DW (Bowser),SSL (11),LLL (12),HMC (15),MIPS Clip,DDD (16),FS (Bowser),BLJs,BitS (Bowser)
1,2023-03-04 05:35:47,2023-03-04 05:35:57,,,,,,,,,,,,,
2,2023-03-04 05:36:32,2023-03-04 06:07:59,00:31:25.3888870,,00:08:10.5276960,00:01:49.6355610,00:03:22.6038280,00:02:03.7412270,00:01:15.1418030,,,00:06:21.7205380,00:03:00.7579460,,00:05:21.2602830
3,2023-03-04 06:10:16,2023-03-04 06:20:14,,,00:07:07.3523370,,,,,,,,,,
4,2023-03-04 06:42:13,2023-03-04 06:44:49,,,,,,,,,,,,,
5,2023-03-04 06:44:56,2023-03-04 06:46:21,,,,,,,,,,,,,
6,2023-03-11 21:37:11,2023-03-11 21:38:17,,,,,,,,,,,,,
7,2023-03-11 21:38:22,2023-03-11 21:39:33,,,,,,,,,,,,,
8,2023-03-11 21:39:35,2023-03-11 21:40:43,,,,,,,,,,,,,
9,2023-03-11 21:40:45,2023-03-11 21:41:51,,,,,,,,,,,,,
10,2023-03-11 21:41:55,2023-03-11 21:43:03,,,,,,,,,,,,,
11,2023-03-11 21:43:06,2023-03-11 21:44:11,,,,,,,,,,,,,
12,2023-03-11 21:44:14,2023-03-11 21:45:18,,,,,,,,,,,,,
13,2023-03-11 21:45:20,2023-03-11 21:46:25,,,,,,,,,,,,,
14,2023-03-11 21:46:27,2023-03-11 21:49:25,,,,,,,,,,,,,
15,2023-03-11 21:49:28,2023-03-11 22:01:25,,00:01:51.7285620,00:03:53.1964640,00:01:31.7255780,,,,,,,,,
16,2023-03-11 22:03:41,2023-03-11 22:04:46,,,,,,,,,,,,,
17,2023-03-11 22:04:47,2023-03-11 22:07:18,,,,,,,,,,,,,
18,2023-03-11 22:07:24,2023-03-11 22:09:11,,,,,,,,,,,,,
19,2023-03-11 22:09:12,2023-03-11 22:34:48,,00:01:42.8903620,00:03:57.0303470,00:01:30.9091140,00:02:40.6725660,00:01:50.1254750,00:00:36.7562450,00:01:58.4187800,,00:02:49.9050090,,00:05:16.5780440,
20,2023-03-16 01:28:14,2023-03-16 01:30:09,,,,,,,,,,,,,
21,2023-03-16 01:31:54,2023-03-16 01:33:00,,,,,,,,,,,,,
22,2023-03-16 01:33:01,2023-03-16 02:03:08,00:30:06.1426770,00:01:43.1382000,00:03:43.7805890,00:01:53.2287260,00:03:03.1392140,00:01:32.8187160,00:00:36.7268320,00:01:50.9473520,00:01:44.2889480,00:01:11.7976800,00:02:37.5008070,00:02:38.6194760,00:07:30.1561310
