id,started,ended,realTime,BOB (1),WF (6),CCM (8),Dank (9),SSL (11),LLL (13),HMC (15),fingi,DDD (16),Fiah,Sky
1,2023-08-30 10:54:32,2023-08-30 10:54:39,,,,,,,,,,,,
2,2023-08-30 10:54:39,2023-08-30 10:56:32,,,,,,,,,,,,
3,2023-08-30 10:56:32,2023-08-30 10:57:34,,,,,,,,,,,,
4,2023-08-30 10:57:34,2023-08-30 10:58:52,,,,,,,,,,,,
5,2023-08-30 10:58:52,2023-08-30 11:00:15,,,,,,,,,,,,
6,2023-08-30 11:00:15,2023-08-30 11:00:23,,,,,,,,,,,,
7,2023-08-30 11:00:23,2023-08-30 11:03:19,,00:01:38.2763583,,,,,,,,,,
8,2023-08-30 11:03:19,2023-08-30 11:03:27,,,,,,,,,,,,
9,2023-08-30 11:03:27,2023-08-30 11:04:58,,,,,,,,,,,,
10,2023-08-30 11:04:58,2023-08-30 11:08:28,,00:01:34.6908426,,,,,,,,,,
11,2023-08-30 11:08:28,2023-08-30 11:27:29,00:19:03.1542603,00:01:36.8529745,00:03:00.0624733,00:01:23.0798518,00:01:57.7776588,00:01:32.2579956,00:01:05.4742780,00:00:44.0761352,00:01:36.1552213,00:00:48.1659170,00:01:29.6726788,00:02:59.0792572
12,2023-08-30 11:27:37,2023-08-30 11:34:41,,00:01:35.4084580,00:03:03.8474838,00:01:22.1562548,,,,,,,,
13,2023-08-30 11:34:41,2023-08-30 11:36:17,,,,,,,,,,,,
14,2023-08-30 11:36:17,2023-08-30 11:40:14,,00:01:35.1011021,,,,,,,,,,
15,2023-08-30 11:40:14,2023-08-30 11:41:49,,,,,,,,,,,,
16,2023-08-30 11:41:49,2023-08-30 11:59:16,00:17:28.9366735,00:01:36.0396565,00:03:04.8808544,00:01:17.8445882,00:01:53.9300676,00:01:21.3729562,00:01:06.0060534,00:00:46.0688013,00:01:25.8064186,00:00:46.4522131,00:01:34.9380157,00:01:53.6171400
17,2023-08-30 11:59:44,2023-08-30 12:06:45,,00:01:35.3800857,00:03:05.0622439,00:01:26.8674113,,,,,,,,
18,2023-08-30 12:06:45,2023-08-30 12:06:53,,,,,,,,,,,,
19,2023-08-30 12:06:53,2023-08-30 12:13:59,,00:01:34.6453423,00:02:55.3229695,00:01:20.9849800,,,,,,,,
20,2023-08-30 12:13:59,2023-08-30 12:15:29,,,,,,,,,,,,
21,2023-08-30 12:15:29,2023-08-30 12:17:00,,,,,,,,,,,,
22,2023-08-30 12:17:00,2023-08-30 12:18:30,,,,,,,,,,,,
23,2023-08-30 12:18:30,2023-08-30 12:18:38,,,,,,,,,,,,
24,2023-08-30 12:18:38,2023-08-30 12:19:40,,,,,,,,,,,,
25,2023-08-30 12:19:40,2023-08-30 12:22:35,,00:01:35.1527614,,,,,,,,,,
26,2023-08-30 12:22:35,2023-08-30 12:23:37,,,,,,,,,,,,
27,2023-08-30 12:23:37,2023-08-30 12:25:10,,,,,,,,,,,,
