place,run.id,run.weblink,run.game,run.level,run.category,run.videos.links,run.comment,run.status.status,run.status.examiner,run.status.verify-date,run.players,run.date,run.submitted,run.times.primary,run.times.primary_t,run.times.realtime,run.times.realtime_t,run.times.realtime_noloads,run.times.realtime_noloads_t,run.times.ingame,run.times.ingame_t,run.system.platform,run.system.emulated,run.system.region,run.splits,run.values.e8m7em86,run.values.kn04ewol,run.splits.rel,run.splits.uri
1,ydl4l90z,https://www.speedrun.com/sm64/run/ydl4l90z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/2281567114'}],"WR !! 6:17 BPT into BLJs and 6:20 BPT Into BiTS

 B)",verified,8lpgwllj,2024-10-22T04:02:00Z,"[{'rel': 'user', 'id': 'xk3nmqk8', 'uri': 'https://www.speedrun.com/api/v1/users/xk3nmqk8'}]",2024-10-21,2024-10-21T11:26:05Z,PT6M26S,386,PT6M26S,386,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
2,zpx5v9rm,https://www.speedrun.com/sm64/run/zpx5v9rm,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/2288314670'}],smol,verified,8lpgwllj,2024-10-29T23:50:04Z,"[{'rel': 'user', 'id': 'xkmnnmmj', 'uri': 'https://www.speedrun.com/api/v1/users/xkmnnmmj'}]",2024-10-29,2024-10-29T12:18:39Z,PT6M31S,391,PT6M31S,391,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
3,z05qlpom,https://www.speedrun.com/sm64/run/z05qlpom,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/683467656'}],WR !,verified,7j47lplj,2020-07-21T12:48:07Z,"[{'rel': 'user', 'id': '7j40gpw8', 'uri': 'https://www.speedrun.com/api/v1/users/7j40gpw8'}]",2020-07-19,2020-07-18T16:17:57Z,PT6M38S,398,PT6M38S,398,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
4,y6en9gpz,https://www.speedrun.com/sm64/run/y6en9gpz,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/2232602580'}],"audio desync moment :(((( (also roml wtf)

Mod note: Verified: No for audio desync",verified,8lpgwllj,2024-08-24T23:48:41Z,"[{'rel': 'user', 'id': '8ew0dk28', 'uri': 'https://www.speedrun.com/api/v1/users/8ew0dk28'}]",2024-08-24,2024-08-24T10:15:39Z,PT6M41S,401,PT6M41S,401,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,4qyxop3l,,
5,m7g1k9em,https://www.speedrun.com/sm64/run/m7g1k9em,o1y9wo6q,,xk9gg6d0,"[{'uri': 'https://youtu.be/9MZWSGgosGI?t=1'}, {'uri': 'https://www.twitch.tv/videos/579432358'}]",,verified,v815edqj,2020-03-31T09:11:06Z,"[{'rel': 'user', 'id': 'dx35yzej', 'uri': 'https://www.speedrun.com/api/v1/users/dx35yzej'}]",2020-03-30,2020-03-31T00:27:14Z,PT6M48S,408,PT6M48S,408,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
5,y6r7wn0y,https://www.speedrun.com/sm64/run/y6r7wn0y,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/mhou3tLzRdM'}],,verified,1xyky4n8,2020-09-19T16:01:25Z,"[{'rel': 'user', 'id': '1xy9p1vj', 'uri': 'https://www.speedrun.com/api/v1/users/1xy9p1vj'}]",2020-09-17,2020-09-17T07:21:59Z,PT6M48S,408,PT6M48S,408,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,4qyxop3l,,
5,y2g8507z,https://www.speedrun.com/sm64/run/y2g8507z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/mlL_SNOVcoQ'}],Got lucky with the setup and run was decent overall,verified,8q3dqn7j,2023-08-05T21:03:29Z,"[{'rel': 'user', 'id': 'xyrqdwmj', 'uri': 'https://www.speedrun.com/api/v1/users/xyrqdwmj'}]",2023-08-04,2023-08-04T09:13:52Z,PT6M48S,408,PT6M48S,408,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
8,y863kjdm,https://www.speedrun.com/sm64/run/y863kjdm,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=-3ozs9yCPtE&feature=youtu.be'}],pls don't shoutout this run i have 6:46 on n64 thank you,verified,qxkm6mj0,2023-04-27T14:05:49Z,"[{'rel': 'user', 'id': '18qowewj', 'uri': 'https://www.speedrun.com/api/v1/users/18qowewj'}]",2023-04-27,2023-04-27T13:54:06Z,PT6M51S,411,PT6M51S,411,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
9,z1lv8x7m,https://www.speedrun.com/sm64/run/z1lv8x7m,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/U9gu83JNEs4'}],SUB 7 !!!!,verified,j4232gmx,2023-07-31T18:36:31Z,"[{'rel': 'user', 'id': 'kj9z6pn8', 'uri': 'https://www.speedrun.com/api/v1/users/kj9z6pn8'}]",2023-07-30,2023-07-30T16:58:33Z,PT6M53S,413,PT6M53S,413,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
10,z0ogd1ez,https://www.speedrun.com/sm64/run/z0ogd1ez,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=RXKcznzPOTM'}],lets play bits again but LFGGG,verified,qxkm6mj0,2022-03-25T20:34:41Z,"[{'rel': 'user', 'id': '8lp7rqrj', 'uri': 'https://www.speedrun.com/api/v1/users/8lp7rqrj'}]",2022-03-25,2022-03-25T17:49:38Z,PT6M54S,414,PT6M54S,414,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,
11,zp6op28m,https://www.speedrun.com/sm64/run/zp6op28m,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=fTdYMAkrzRo'}],"retired
Credits to Kazenokaze: [https://www.deviantart.com/kazenokaze/art/Nao-557145863](https://www.deviantart.com/kazenokaze/art/Nao-557145863)
",verified,8lpgwllj,2024-06-03T23:55:33Z,"[{'rel': 'user', 'id': '8d35ly5x', 'uri': 'https://www.speedrun.com/api/v1/users/8d35ly5x'}]",2024-04-27,2024-06-02T21:07:34Z,PT6M56S,416,PT6M56S,416,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
12,yox2g2jy,https://www.speedrun.com/sm64/run/yox2g2jy,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/5o4xp2M2xgg'}],siiiiiiiiiii,verified,8lpgwllj,2024-07-21T23:32:48Z,"[{'rel': 'user', 'id': 'jm3lqln8', 'uri': 'https://www.speedrun.com/api/v1/users/jm3lqln8'}]",2024-07-21,2024-07-21T01:03:31Z,PT6M57S,417,PT6M57S,417,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
13,z0j0k3jy,https://www.speedrun.com/sm64/run/z0j0k3jy,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/mFSdgrBI7yg'}],3:04 dddskip LMAO,verified,j4232gmx,2023-08-09T14:00:35Z,"[{'rel': 'user', 'id': '8e6vr17j', 'uri': 'https://www.speedrun.com/api/v1/users/8e6vr17j'}]",2023-08-07,2023-08-07T05:39:16Z,PT6M58S,418,PT6M58S,418,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
