place,run.id,run.weblink,run.game,run.level,run.category,run.videos.links,run.comment,run.status.status,run.status.examiner,run.status.verify-date,run.players,run.date,run.submitted,run.times.primary,run.times.primary_t,run.times.realtime,run.times.realtime_t,run.times.realtime_noloads,run.times.realtime_noloads_t,run.times.ingame,run.times.ingame_t,run.system.platform,run.system.emulated,run.system.region,run.splits,run.values.e8m7em86,run.values.kn04ewol,run.splits.rel,run.splits.uri,run.videos
1,ywxgd72m,https://www.speedrun.com/sm64/run/ywxgd72m,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.twitch.tv/videos/2262550973'}],lesgOOOOOOOOOOOOOOOOOOOOOOOO,verified,8vkn1mnj,2024-09-28T19:40:38Z,"[{'rel': 'user', 'id': 'xkmnnmmj', 'uri': 'https://www.speedrun.com/api/v1/users/xkmnnmmj'}]",2024-09-28,2024-09-28T15:03:41Z,PT7M9S,429,PT7M9S,429,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
2,ywv8009z,https://www.speedrun.com/sm64/run/ywv8009z,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.twitch.tv/videos/1688630753'}],,verified,qxkm6mj0,2022-12-26T16:22:09Z,"[{'rel': 'user', 'id': '7j40gpw8', 'uri': 'https://www.speedrun.com/api/v1/users/7j40gpw8'}]",2022-12-26,2022-12-26T12:57:54Z,PT7M13S,433,PT7M13S,433,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
3,zglp6xjm,https://www.speedrun.com/sm64/run/zglp6xjm,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.twitch.tv/videos/2122212364'}],7:0X Soon,verified,8lpgwllj,2024-04-18T01:28:13Z,"[{'rel': 'user', 'id': 'xk3nmqk8', 'uri': 'https://www.speedrun.com/api/v1/users/xk3nmqk8'}]",2024-04-17,2024-04-17T15:00:21Z,PT7M14S,434,PT7M14S,434,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
4,z1qw6k7y,https://www.speedrun.com/sm64/run/z1qw6k7y,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.twitch.tv/videos/1799854244'}],big one!,verified,86vm37pj,2023-04-21T19:55:32Z,"[{'rel': 'user', 'id': 'jmolpwo8', 'uri': 'https://www.speedrun.com/api/v1/users/jmolpwo8'}]",2023-04-21,2023-04-21T19:09:44Z,PT7M16S,436,PT7M16S,436,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
4,zn99ek9y,https://www.speedrun.com/sm64/run/zn99ek9y,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.twitch.tv/videos/2402896288'}],,verified,8lpgwllj,2025-03-14T22:56:50Z,"[{'rel': 'user', 'id': 'kj9z6pn8', 'uri': 'https://www.speedrun.com/api/v1/users/kj9z6pn8'}]",2025-03-11,2025-03-11T13:20:21Z,PT7M16S,436,PT7M16S,436,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
6,zxx8pgez,https://www.speedrun.com/sm64/run/zxx8pgez,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.twitch.tv/videos/2244796788'}],,verified,8lpgwllj,2024-09-08T23:34:32Z,"[{'rel': 'user', 'id': '8ew0dk28', 'uri': 'https://www.speedrun.com/api/v1/users/8ew0dk28'}]",2024-09-07,2024-09-07T08:20:38Z,PT7M21S,441,PT7M21S,441,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
7,y60w92qy,https://www.speedrun.com/sm64/run/y60w92qy,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.twitch.tv/videos/1532401582'}],Lfg!!,verified,qxkm6mj0,2022-07-15T13:45:42Z,"[{'rel': 'user', 'id': 'xyrqdwmj', 'uri': 'https://www.speedrun.com/api/v1/users/xyrqdwmj'}]",2022-07-15,2022-07-15T10:12:05Z,PT7M23S,443,PT7M23S,443,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
7,yvp1kg4y,https://www.speedrun.com/sm64/run/yvp1kg4y,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.youtube.com/watch?v=9Qkxjc59Bh8'}],oñunga,verified,qxk4wo6j,2023-06-13T13:28:30Z,"[{'rel': 'user', 'id': 'j0324nmj', 'uri': 'https://www.speedrun.com/api/v1/users/j0324nmj'}]",2023-06-12,2023-06-13T01:48:28Z,PT7M23S,443,PT7M23S,443,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
9,m3lqpggm,https://www.speedrun.com/sm64/run/m3lqpggm,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://youtu.be/5br-GQadZsE'}],"So happy for this PB !! still are some timelosses over the run, hope i can get near WR in the future ^^

Trop content de ce PB !! il reste des pertes de temps dans la run, j'espère arriver près du WR dans le futur ^^

mod note: retimed to 7:24",verified,j03z503j,2023-02-21T16:34:23Z,"[{'rel': 'user', 'id': 'jnz2ykqj', 'uri': 'https://www.speedrun.com/api/v1/users/jnz2ykqj'}]",2023-02-19,2023-02-20T16:22:56Z,PT7M24S,444,PT7M24S,444,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
10,zgl68dvm,https://www.speedrun.com/sm64/run/zgl68dvm,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.youtube.com/watch?v=on8lOLJSnug'}],"retired
Credits to Kazenokaze: [https://www.deviantart.com/kazenokaze/art/Nao-557145863](https://www.deviantart.com/kazenokaze/art/Nao-557145863)
",verified,8lpgwllj,2024-06-03T23:48:48Z,"[{'rel': 'user', 'id': '8d35ly5x', 'uri': 'https://www.speedrun.com/api/v1/users/8d35ly5x'}]",2024-05-05,2024-06-02T21:05:01Z,PT7M25S,445,PT7M25S,445,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
