place,run.id,run.weblink,run.game,run.level,run.category,run.videos.links,run.comment,run.status.status,run.status.examiner,run.status.verify-date,run.players,run.date,run.submitted,run.times.primary,run.times.primary_t,run.times.realtime,run.times.realtime_t,run.times.realtime_noloads,run.times.realtime_noloads_t,run.times.ingame,run.times.ingame_t,run.system.platform,run.system.emulated,run.system.region,run.splits,run.values.e8m7em86,run.values.kn04ewol,run.splits.rel,run.splits.uri,run.videos
1,mk1x1wxy,https://www.speedrun.com/sm64/run/mk1x1wxy,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=JoX7RDKRG7Q'}],"okey dokey!

Mod note: This run was done on 2024/11/03",verified,8lpgwllj,2024-11-04T06:44:32Z,"[{'rel': 'user', 'id': 'jn32931x', 'uri': 'https://www.speedrun.com/api/v1/users/jn32931x'}]",2024-11-03,2024-11-04T05:39:48Z,PT1H35M28S,5728,PT1H35M28S,5728,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
2,z1v678jz,https://www.speedrun.com/sm64/run/z1v678jz,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=ztntjZZqwJk'}],Mod note: Verified: No for lost video at 5:13,verified,8lpgwllj,2025-03-19T01:03:17Z,"[{'rel': 'user', 'id': 'zxzk1q9x', 'uri': 'https://www.speedrun.com/api/v1/users/zxzk1q9x'}]",2025-03-18,2025-03-18T23:22:54Z,PT1H35M30S,5730,PT1H35M30S,5730,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,4qyxop3l,,,
3,me2o4g8m,https://www.speedrun.com/sm64/run/me2o4g8m,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.twitch.tv/videos/2457584134'}],,verified,8e6k1loj,2025-05-22T06:22:30Z,"[{'rel': 'user', 'id': 'j2ylqn68', 'uri': 'https://www.speedrun.com/api/v1/users/j2ylqn68'}]",2025-05-11,2025-05-17T19:42:07Z,PT1H36M,5760,PT1H36M,5760,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
4,yvx4o46z,https://www.speedrun.com/sm64/run/yvx4o46z,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=CJzTDktmx-Q'}],,verified,8lpgwllj,2024-07-07T21:26:02Z,"[{'rel': 'user', 'id': 'kjprmwk8', 'uri': 'https://www.speedrun.com/api/v1/users/kjprmwk8'}]",2024-07-06,2024-07-07T17:33:13Z,PT1H36M2S,5762,PT1H36M2S,5762,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
5,yv7jgrey,https://www.speedrun.com/sm64/run/yv7jgrey,o1y9wo6q,,wkpoo02r,[{'uri': 'https://youtu.be/9-b4e-TAwtQ'}],,verified,8lpgwllj,2025-05-02T04:54:49Z,"[{'rel': 'user', 'id': '1xyd46wx', 'uri': 'https://www.speedrun.com/api/v1/users/1xyd46wx'}]",2025-05-01,2025-05-01T21:52:00Z,PT1H36M33S,5793,PT1H36M33S,5793,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
6,z0ddqwoy,https://www.speedrun.com/sm64/run/z0ddqwoy,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.twitch.tv/videos/2146368264'}],,verified,zx7gkrx7,2024-05-18T02:36:40Z,"[{'rel': 'user', 'id': '8wkzer38', 'uri': 'https://www.speedrun.com/api/v1/users/8wkzer38'}]",2024-05-15,2024-05-16T04:38:07Z,PT1H36M44S,5804,PT1H36M44S,5804,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
6,ydnp5jqm,https://www.speedrun.com/sm64/run/ydnp5jqm,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=GLv3zsSFXHQ&ab_channel=cheesespeedrunning'}],babecoin,verified,8lpgwllj,2024-06-14T00:41:58Z,"[{'rel': 'user', 'id': 'v814mkp8', 'uri': 'https://www.speedrun.com/api/v1/users/v814mkp8'}]",2024-06-12,2024-06-12T23:32:21Z,PT1H36M44S,5804,PT1H36M44S,5804,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
8,yjqkrd3m,https://www.speedrun.com/sm64/run/yjqkrd3m,o1y9wo6q,,wkpoo02r,"[{'uri': 'https://www.youtube.com/watch?v=frXIGEu2k-0'}, {'uri': 'https://www.twitch.tv/videos/2446589634'}]",https://www.youtube.com/watch?v=frXIGEu2k-0,verified,8e6k1loj,2025-04-30T16:22:20Z,"[{'rel': 'user', 'id': 'v81ddq38', 'uri': 'https://www.speedrun.com/api/v1/users/v81ddq38'}]",2025-04-30,2025-04-30T14:37:36Z,PT1H36M58S,5818,PT1H36M58S,5818,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
9,yjwgkr7m,https://www.speedrun.com/sm64/run/yjwgkr7m,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.twitch.tv/videos/1957391583'}],,verified,zx7gkrx7,2023-10-23T02:58:48Z,"[{'rel': 'user', 'id': 'jo2mr9n8', 'uri': 'https://www.speedrun.com/api/v1/users/jo2mr9n8'}]",2023-10-22,2023-10-22T09:45:36Z,PT1H37M3S,5823,PT1H37M3S,5823,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
10,yvxlr06z,https://www.speedrun.com/sm64/run/yvxlr06z,o1y9wo6q,,wkpoo02r,[{'uri': 'https://youtu.be/4eFd3ffPTMo?si=ufJ3__CkClAgtG6n'}],,verified,8lpgwllj,2024-09-30T23:14:25Z,"[{'rel': 'user', 'id': 'zx77v7rx', 'uri': 'https://www.speedrun.com/api/v1/users/zx77v7rx'}]",2024-09-26,2024-09-29T17:44:24Z,PT1H37M6S,5826,PT1H37M6S,5826,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
